[General]
Name|Brittney

[Dialogues]
0|Olá de novo. Como você está?
0.1|Estou um pouco ocupada agora.
0.2|Oi, oi. Acho que não nos conhecemos. Sou a Brittney.
0.3|Nossa. O que você quer?
0.4|Você está falando sério? VAI. EMBORA! Nossa, juro que tem gente que é mais grossa que uma tigela de mingau de aveia...
0.5|Aprenda a ler o ambiente, babaca. Não estou interessada. Agora cai fora!
0.6|Oi, gata. Como está indo essa minha blusa? Você deixou no carro ou algo assim?
0.7|Oi, gata, como vai? Senti sua falta.
1|Ah, é, eu sei. Só... bem, é meio constrangedor. Acabei de comprar uma blusa nova, e bem, eu sempre tive... bem, você sabe. Estou insegura e acho que nunca vou conseguir sair.
2|Ah. Obrigada. Isso me faz sentir um pouco melhor.
3|Não precisa ser sarcástica.
4|Eu sei, eu sei. Eu simplesmente não consigo sair. Talvez se houvesse um jeito de garantir que eu não seria o centro das atenções, eu pudesse me convencer a sair.
4.1|Eu sei, eu sei. Eu simplesmente não ouso sair. Foi por isso que pedi para você me trazer uma blusa nova, lembra? Talvez se houvesse um jeito de garantir que a atenção estaria em outra pessoa, eu pudesse ser convencida a sair.
5|Meu Deus! Como você fez isso? Acho que não importa. Não só tira o foco da minha blusa, como também é meio sexy. Se me dá licença, eu vou dançar.
6|Que porra é essa? Por que você faria isso? Fique longe de mim, seu pervertido!
7|Isso não é da sua conta, né?
8|Acho que andar por aí com o pinto de fora não vai ser a solução para os meus problemas, mas eu agradeço o esforço.
9|Ops, tira esse pinto da minha cara, idiota!
10|Meu Deus. Qual é a doideira, cara? Por que você fez isso?
10.1|Chega, fim da linha. Você precisa aprender a ter respeito!
11|Eu não tenho extintor de incêndio, mas você se importa se eu te incendiar?
12|Ah, você está falando daquele garoto doce e mentalmente lento? Ele me deu o celular para eu não perder. Ele é muito mais inteligente do que as pessoas imaginam.
12.1|Eu não te contaria nem se tivesse um. Sai daqui, idiota!
13|Bem, você não é gentil em olhar para os defeitos dele? Bem, de qualquer forma, não posso te dar o telefone dele sem a permissão dele. Pode dizer a ele que pode vir pegar comigo, e terei prazer em devolvê-lo.
14|Espere um minuto, Patrick. Você me disse especificamente para não devolver este telefone a menos que estivesse sóbrio. Você não parece muito sóbrio para mim.
15|Desculpe, mas sou responsável por este telefone. Você o confiou a mim, e eu não vou devolvê-lo a menos que esteja sóbrio, como você pediu.
16|Bem, você certamente parece muito melhor. Ainda é um pouco difícil dizer por causa da sua deficiência mental, mas você não parece bêbado, então agora posso te devolver.
17|Uhh. Não, e talvez você devesse consultar um médico sobre isso.
18|Ugh, sai de perto de mim e se comporta.
19|Ops, que nojo. Encontre outro lugar para fazer isso!
20|Ah, desculpe! Eu não sabia que você era... bem, meu Deus!
21|Bem, eu não vou assinar sem saber para que serve, idiota? Você quer me contar sobre isso?
21.1|De jeito nenhum, minha mãe achou que eu estava bem. Eu não faço pactos com o diabo. Agora, você está me ouvindo?
21.2|Isso é um pedido para me deixar em paz? Não? Então coloque onde o sol não brilha!
22|Hmm, acho que estou bem. Obrigada por perguntar!
23|Tenho certeza de que vou assinar isso! Não que eu me sinta confortável fazendo esse tipo de coisa, mas adoro assistir!
24|Na verdade, estou me divertindo muito vendo essa moça dançar, mas ela pode me convencer a dar um mergulho se as circunstâncias mudarem.
25|Ah, droga! Que coragem fazer uma pergunta dessas para uma dama! Desculpe, mas não vou discutir essas coisas com você. Mal nos conhecemos!
25.1|Nossa! Que audácia fazer uma pergunta dessas para uma dama! Agora, vadia, ouviu?
26|Ah, que delícia. Posso assistir a Stephanie dançar do conforto da banheira de hidromassagem. Obrigada por providenciar isso, querida!
27|É uma banheira de hidromassagem, querida. É esse o ponto.
28|Ah, ela é adorável andando por aí com aquela roupinha de abelha. Eu estaria mentindo se dissesse que não estou curiosa para ver o que tem por baixo. No entanto, esse será o nosso segredinho.
28.1|Ah, ela é adorável e parece muito simpática. Não como a triste desculpa para uma pessoa parada na minha frente. Agora vá!... E deixe a pobre Amy em paz!
29|É mesmo? Bem, supondo que eu esteja interessado em algo assim, como você propõe que façamos isso?
30|Ah, se esse não é o truque mais velho que existe. Desculpe, mas não vou cair nessa. Embora... Só por precaução, pode haver um toque de verdade na situação... Digamos que, se você conseguir fazer a Amy se despir nesta banheira de hidromassagem, não terá dificuldade em me convencer a fazer isso também.
