[General]
Name|Lety

[Dialogues]
0|Olá!
0.1|Como vai?
0.2|Ah, oi.
1|Olá! Sou a Lety, professora de espanhol da Ashley. A Ashley me chamou para uma "aula de reforço de emergência", mas eu não fazia ideia de que seria uma aula em grupo. Nunca fiz aulas em grupo antes... Tenho certeza de que consigo lidar com isso. Então, qual é o seu nível de espanhol?
1.1|Ei, o que houve? Você não pode simplesmente mexer nas coisas das pessoas assim! Se você está tentando começar bem a aula de espanhol, mexer na minha bolsa seria uma boa maneira de fazer isso, então pare com isso!... Bisbilhoteira sem vergonha...
1.2|Ei, o que houve? Fui pegar minha bolsa e todos os meus NIFTY GIFTYS sumiram! Consigo sentir o cheiro daquele mezcal a quilômetros de distância. Você levou minhas coisas! ...Se você está tentando se adiantar na aula de espanhol, bom, vasculhar minha bolsa seria uma boa maneira de fazer isso, então deixa pra lá!... Intrometido sem vergonha...
2|É espanhol, bobinho. Ei, garoto, tudo bem. Acho que todos nós temos que começar de algum lugar. Por sorte, trouxe um monte de materiais didáticos excelentes. Notei que a Ashley responde bem a coisas que ela pode realmente tocar... e beber. É um equilíbrio complicado garantir que ela retenha a maior parte da aula antes de desmaiar.
3|Chaleee, eu sabia que tinha alguma coisa acontecendo, eu sou um idiota! Tipo "sessão de reforço de emergência"? Merda, isso soa mais idiota cada vez que eu digo. Então você estava dizendo... que é uma festa em casa?
4|Ah, isso é legal, totalmente legal, muito bom. Eu sou uma garota festeira. Tipo, toda vez que vou a uma festa em casa, eu transformo aquela festa em... doença... na boa... na boa. Se controla, Lety.
5|Não, só estou pronta para a diversão! Vai para a esquerda, vai para a direita, DOIS pulinhos dessa vez.
6|Ok, tudo bem. Aqui, pegue esta caixa de poppers. Eu uso quando a Ashley se distrai da aula. O *POP* que eles fazem realmente a concentra porque ela acha que tem um manipulador. Mas, como não tem aula, a última coisa que eu preciso é de um deles caindo do meu bolso e todo mundo pensando que a Lety, a festeira, está armada.
6.1|Ok, tudo bem. Só... olha aquela caixa de poppers que eu trouxe. Eu uso quando a Ashley se distrai da aula. O *POP* que eles fazem realmente a concentra porque ela acha que tem um manipulador. Mas, como não tem aula, a última coisa que eu preciso é de um deles caindo do meu bolso e todo mundo pensando que a Lety, a festeira, está armada.
7|Ok, obrigada. Até breve, amiga da festa!
8|Meu Deus, o que foi isso? Só porque eu não entendi a ideia dela sobre uma loja de sapatos, ela tem que me bater? Que falta de justiça! Com licença, vou verificar se tem algum dente faltando.
9|Você viu? A Leah e eu nos damos como dois bêbados em uma festa de 15 anos! Preciso dizer, as festas na TV realmente se parecem muito com as festas da vida real. Isso é... a vida real... certo? Claro que são, o que estou dizendo?
9.1|Aaarghh, de todos os dias para levar uma surra, é a véspera da minha sessão de fotos! Por que a Ashley me convidaria se nenhuma dessas pessoas quisesse aprender espanhol?
10|Ela mesmo? Bem, você parece estar à altura do trabalho. No entanto, preciso te dizer uma coisa, como na lista de convidados: esta é a minha primeira festa, e eu realmente não quero estragar tudo. Não que eu fosse fazer isso... de propósito.
11|Ok, com quem eu devo falar? Meu Deus, todos os estereótipos de filmes de comédia adolescente são reais? Será que a gente podia começar a conhecer esses personagens como se estivessem em um teste de elenco? Vamos lá, cara, dá pra tentar?
12|Ahahaha, cara, você é o máximo! Acho natural eu começar pelo anfitrião da festa, né? Nos filmes, é sempre uma garota metida usando a casa do pai enquanto ele está cheirando cocaína numa viagem de negócios chique, ou aterrorizando Nova York como uma supervilã com temática aviária... O que eu estava dizendo? Ah, é! Vamos ver se o anfitrião de hoje é igualmente metido.
13|Meu Deus, se ela for um morango, tenho certeza que consigo conquistá-la com um presente! Uma coisinha que diga "obrigado por me deixar ir à sua festa"! Ou sabe... aulas de espanhol grátis.
14|Primeiro de tudo, descubra quem vai dar a festa. Se você já sabe, veja o que pode aprender sobre ela para a gente saber qual presente vai ser o melhor! Vou juntar minhas coisas e depois talvez eu tente me misturar um pouco. Me dê um ou dois minutos e depois venha me encontrar, beleza?
14.1 | Antes de mais nada, descubra quem vai dar a festa. Se você já sabe, veja o que pode aprender sobre ela para sabermos qual presente será o melhor! Enquanto você faz isso, eu dou umas voltas; para garantir que as pessoas vejam meu rosto. Sabe, plante a semente... a semente do meu rosto.
