[General]
Name|Ashley

[Dialogues]
0|Olá de novo. Como você está?
0.1|Olá, meu nome é Ashley. Sou irmã da Madison. Prazer em conhecê-la!
0.2|Ei, você encontrou alguma coisa para me secar?
0.3|Como está indo nossa operação?
1|Argh. Minha irmã idiota derramou uma cerveja em mim. Eu sei que ela fez de propósito, mesmo sem admitir. Agora que estou encharcada, preciso descobrir como me secar.
2|Argh. Por favor, não me compare a ela. Não estamos nos dando bem agora.
3|Ah, obrigada! Você é tão fofa!
3.1|Sério? Mais bonita? Quem disse que eu parecia com ela há pouco tempo? Ah, sim, era você.
4|Você não está me ajudando.
5|Você faria isso por mim? Espera aí, como eu sei que você não está ajudando a Madison a me humilhar? Não tenho certeza se posso confiar em você.
5.1|Você faria isso por mim? Agora sim! Sei que acabamos de nos conhecer, mas pelo que vejo, você está no caminho certo. Me dar aquele diário me ajudou a ver isso. Venha me ajudar.
5.2|Você faria isso por mim? Tenho minhas dúvidas... você não tem a melhor boca, mas me deu aquele diário... Acho que posso confiar em você. Venha me ajudar.
6|Desde pequeno, ela sempre brinca comigo e me envergonha. Ela adora me envergonhar, principalmente na frente das amigas. Uma vez, ela roubou todas as minhas roupas e toalhas enquanto eu estava no banheiro e tive que sair pelado, e tínhamos muita gente. Foi horrível! Quem me dera vê-la se envergonhar pelo menos uma vez.
7|Hmm. Você é muito bonito. Aposto que minha irmã gosta de você. Que tal isso? Você a seduz e tenta despi-la no quarto. Então, ligue para o Frank e peça para ele entrar no quarto. Eu ficaria tão envergonhado! Seria épico! Se precisar de dicas para seduzi-la, me peça. Eu roubei o diário dela por tempo suficiente para saber o que a excita.
8|Desculpe, mas acho que não nos conhecemos o suficiente para falar sobre isso.
9|Ayy, você poderia me ajudar? Bem, estou encharcado agora. Preciso secar essas roupas de algum jeito.
10|Perfeito! Obrigada! Mas essas roupas ainda cheiram a cerveja.
11|Vou te dizer uma coisa. Madison tem um diário. Eu a vi escrevendo nele. Ela não deixa ninguém ler. Eu nem sei onde ela guarda. Se você puder me trazer, saberei que posso confiar em você.
12|Seu babaca! Fique longe de mim!
13|Ei, esse é o telefone da Madison?
14|Ok. É bem parecido. Tem até a mesma capa rosa.
15|Hmm. Bem, se você está querendo invadir o telefone dela, provavelmente consigo o código. Mas você vai ter que fazer uma coisa por mim primeiro.
15.1|Deixa eu adivinhar: agora você está animado para abrir o telefone da Madison e ver que sacanagem a gente ia encontrar. Um pouco excitado, talvez? Lembre-se, vai dar trabalho.
16|Bem, não é segredo que a Madison e eu temos um histórico ruim. Eu adoraria finalmente me vingar e transar com ela em vez de ela transar comigo. Além disso, envergonhá-la na própria festa seria épico.
17|Veja se consegue encontrar o diário dela. Ela sempre tem o código do telefone lá para não esquecer. Ela acha que é esperta fazendo parecer um número de telefone, mas eu sei como descobrir. Ela está sempre mudando o código, e é por isso que o escreve no diário — quer dizer, tem que ter alguma coisa boa naquele telefone. Traga-me o diário e eu te passo o código para aquele telefone.
18|Incrível! Eu não achei que você fosse capaz, mas ainda bem que eu estava errado. Este diário tem todos os códigos da Madison. Olha, aqui está o código do telefone dela: 1337. Agora posso acessar tudo! Facebook, e-mail. Isso vai ser épico!
19|Acho que você se arriscou roubando este diário. Madison teria te matado se te visse. Ok, me siga. Vamos para uma área privativa onde eu posso me trocar.
19.1|Ok, me siga. Vamos para uma área privativa onde eu posso me trocar.
20|Ok. Aqui vou eu. Obrigada por cuidar de mim. Você ajudou muito! Ah, e, por favor, tranque a porta quando sair!
21|Você poderia trancar a porta primeiro?
22|Ufa. Já vou logo dizendo que não estou me sentindo muito bem.
23|Hum. Tem gente demais aqui para eu tirar a roupa agora...
24|Hum... você está um pouco... exposta.
24.1|Posso pensar em algumas coisas que posso fazer com isso...
25|Na verdade, estou com sede e não consigo andar exatamente como estou. Pode me pegar um refrigerante?
26|Muito obrigada! Você é a melhor!
27|Meu Deus. Preciso encontrar um banheiro agora!
28|Droga, quem trancou a porta do banheiro? Você fez isso de propósito, né?
29|Droga! Este também está trancado! O único outro banheiro é... :: gulp ::..no primeiro andar. Certo, respire fundo, Ashley. Você consegue...
30|Vai se foder, babaca. É claro que você tem a chave. Eu sabia que era você e a Madison por trás disso! Preciso mesmo entrar aí. Faço qualquer coisa! Vou ficar pelada o resto da festa. Só me deixa entrar.
