[General]
Name|Patrick

[Dialogues]
0|Como vai, mano?
0.1|Como vai, mano? Teve sorte em encontrar analgésicos?
0.2|Ei, é o meu parceiro, mano! Como vão as coisas?
0.3|Estou tão bêbado, mano!
0.4|Se não for o meu melhor amigo de outro amigo... ha. Esse não está funcionando muito bem. Enfim, como está indo o nosso plano?
0.5|Ah, é você de novo? Estou de olho em você... pelo menos acho que está. Qual é, Pat, visão turva nunca te impediu...
0.6|Ah, é você. Estou de olho em... nossa. Espera, você... você está pelado. Acho que não estava de olho em você tanto quanto pensava, porque eu, mais do que ninguém, deveria ter notado isso. Boa jogada.
0.7|Ei, ei, é meu brahmiga principal. Como vão as coisas?
1|Frank Shmank! *Soluço* Ele não me assusta.
1.1|Frank Shmank! *Soluço* ...Não tenho certeza se ele é meu maior problema esta noite.
2|Estou com uma dor de cabeça horrível, mano. Uma aspirina me faria bem. Você não sabe onde posso encontrar, sabe?
3|Nossa, você que inventou a aspirina, mano! Muito obrigado. Somos como irmãos para a vida toda agora. Me avise se precisar de alguma coisa.
3.1|Ah, hum, obrigado. Mas isso é o mínimo que você poderia fazer. Ou... o máximo? Sinceramente, não sei o que você pode fazer. Não me importo. Você é tipo... um supervilão misterioso, mas de uma série que passa na DW Network.
4|Maddy e eu somos primos. Mas ela nunca vai admitir. Ela finge que não me conhece na maior parte do tempo. Mas tudo bem. Eu também não gosto muito dela, mas nossos pais são próximos e ela vai se borrar de medo se me excluir. Tanto faz, só estou aqui pela bebida grátis.
5|Calma, mano. Toda vez que vejo o Frank, eu escondo na frente da minha calça! Eu estava aqui antes do Frank chegar, e quando ele apareceu e começou a recolher toda a bebida, eu simplesmente joguei essa belezinha na minha calça. Estou na metade e me sentindo bem. Quer uma bebida?
5.1|Essa foi fácil, mano. Toda vez que eu via o Frank, eu escondia na frente da minha calça! Eu estava aqui antes do Frank chegar, e quando ele apareceu e começou a recolher toda a bebida, eu simplesmente joguei essa belezinha na minha calça.
6|Eita, mano! Eu consigo ver a sua! É maior que a minha coisa. Preciso de outra bebida.
6.1|Ok, admito... o algoritmo de RV não foi projetado para lidar com órgãos sexuais virtualizados com uma contagem de texels tão alta. Mais de 9000. Impressionante.
7|Sei lá, mano! Eu estava cuidando da minha vida, e ele veio até mim. Perdi meu vinho também, e ele está protegendo todo o resto do álcool. Acho que estou prestes a me acalmar. É uma merda, mano.
7.1|Sei lá, mano! Eu estava cuidando da minha vida, e ele veio até mim. Encontrei meu vinho, então está tudo bem.
8|Que porra é essa? Você estava escondendo álcool de mim? Vou te dar uma surra!
9|Cara, está chovendo? Espera, eu não estou lá fora. Nossa, que horror. Preciso de outra bebida.
9.1|Sério? Ele mal podia esperar para acabar comigo, apesar de todo o esforço que eu coloquei neste aplicativo de realidade virtual? Ou esta simulação é muito eficaz ou você NÃO é o público-alvo. O marketing deve evitar... impacientes... hmm, e aqueles com pouca ou nenhuma resistência... problemas de saúde...
9.2|Estabelecendo brahminence na festa, hein? Eu respeito isso, mas acho que vou encontrar meu próprio território...
10|Porra, cara! Vou tomar um vinho! Valeu, cara! Você é o máximo!
11|De jeito nenhum, mano! Obrigado por me avisar! O Frank está com tudo na correria durante o confinamento, e eu preciso me manter no caminho certo!
11.1|De jeito nenhum, mano! Obrigado pelo aviso! Preciso manter a minha bebida!
12|Com certeza, mano! Eu só... Hum. Bem, não consigo lembrar onde coloquei. Minha memória não é tão boa quando estou bebendo. Geralmente, eu dou para alguém guardar quando começo a pedir.
13|Não se preocupe, mano! Vou dar uma olhada e você pode ficar com ele até eu ficar sóbrio. Com certeza chega antes de terça-feira.
13.1|Não se preocupe, mano! Vou pegar com ela e você pode ficar com ele até eu precisar. Sabe, caso eu engula mais álcool. Com certeza chega antes de terça-feira.
14|Britney! Como vai, mano? Ei, pode me devolver o celular agora?
15|É, mas meu mano precisa dele. Acho que ele precisa ligar para a mãe dele.
15.1|É, mas essa gata precisa. Acho que ela precisa ligar para a mãe dela. Não quero decepcionar outra mulher... é... quer dizer... decepcionar ESTA mulher em particular.
16|Ei, mano! Desculpe, tentei pegar meu celular de volta com a Brittney, mas ela não me devolve a menos que eu esteja sóbrio. Você vai ter que esperar até terça-feira.
17|Não, obrigado, mano! Eu tenho vinho! Além disso, se eu tomar café, eu poderia relaxar. Isso mataria o mano.
