[General]
Name|Leah

[Dialogues]
0|Como vai? Está se divertindo? Pode agradecer a mim e ao Sensei Frank por isso.
0.1|O que está acontecendo? É bom te ver de novo.
0.2|Ah, olá. Precisa de alguma coisa?
0.3|Sim? Viu alguma coisa?
0.4|Mua ha ha ha. Uma risada totalmente maligna, né? O que você quer, aprendiz?
0.5|Você ousa falar antes que lhe falem? Rápido!
1|Hoje, você, cai fora! Ufa, quase tive que usar o estilo Templo Shaolin com um filho da puta. Droga... nunca se aproxime de um estranho por trás assim! Você não os conhece, nem de onde eles vêm... A lição número 1 do Sensei Frank. Enfim, eu sou a Leah.
1.1|Como vai, Dood? Eu disse certo? Tento falar como o Sensei Frank diz. Dood. Dewwwwd... dooouuuuudde? O que é isso...? Deixa pra lá. Eu sou a Leah.
1.2|Ei, eu sou a Leah. Leah, tipo "Vou te deixar na lama se você tentar alguma coisa nessa festa hoje à noite". Parece legal? Merda, tenho que praticar o que o Sensei Frank me ensinou...
2|Sensei Frank. Eu gaguejei? Ou talvez você tenha problemas de respeito, né, moleque?
2.1|Sensei Frank. ...O cara grande e careca que acabou de sair da festa como um homem que definitivamente tem coisas melhores para fazer? Aham. Sabe... aquele cara do drama do pinto mais cedo?
3|Oooh, tá bom então. Bem, falando nisso, preciso falar com o Frank rapidinho. Ele me colocou em patrulha, e preciso ir me apresentar a ele em intervalos de 5 minutos. Acontece que esqueci meu celular na academia, então fiquei contando de cabeça. Já se passaram exatamente 5 minutos... ou mais, muito mais que isso.
3.1|Claro. Vou aqui e faço exatamente isso...
4|Estou aqui com o Sensei Frank. Não estou COM o Sensei Frank, mas sou tipo... o braço direito dele. Nós comandamos as coisas, sabe? Tentamos manter essa festa segura... e, por algum motivo, sem álcool.
4.1|Estou em uma situação estranha agora, honestamente. Vim aqui com o Sensei Frank. Mas agora... acho que estou voando sozinho e tomando minhas próprias decisões. De certa forma, parece revigorante e emocionante, mas, por outro lado, é meio assustador. Uh, desculpe, você provavelmente não precisava de um livro tão grande sobre o meu estado de espírito agora. Enfim...
4.2|Não tenho tempo para te contar uma história sobre mim agora, como se estivéssemos em algum RPG ruim, tipo Derek e seus amigos nerds. Acabei de perceber meu verdadeiro poder e tenho coisas para fazer.
5|Claro que sim, mas não me limito a manter essa coisa em forma. Estou prestes a transformar meu corpo em uma arma. Tenho grandes planos com este meu corpo. Vou abrir um estúdio de autodefesa e tudo mais. Quando as pessoas virem minha aparência, virão correndo... e então MANDARÃO as pessoas para correr.
5.1|Eu malho. Às vezes, também gosto de malhar batendo em quem me irrita com comentários idiotas.
6|Calma, ok? Não vamos beber nesta festa... ou, pelo menos, foi o que o Sensei Frank me disse para dizer.
6.1|Sabe que se você tivesse me dito isso algumas horas atrás, eu teria te dado um chute na bunda, certo? Mas está tudo bem. Estou por conta própria agora que Frank se foi... e minha opinião? Cada um na sua, como diz o ditado. Mas essa merda não é pra mim. Preciso manter esse templo em ótimo estado.
6.2|Ah, não. Eu não mexo com essa merda. Preciso manter essa arma corporal em ótimo estado. E, para sua sorte, eu não dou a mínima se você ainda estiver com ela em mim, então pode ir à loucura.
7|Eu não. Estou aqui a trabalho. Segurança, sabe. Mas acho que vi aquela loira com os peitos gigantes na academia. Tem alguma coisa nela, eu definitivamente já a vi antes.
7.1|Eu não. Estou aqui com o Frank... bem, quer dizer... eu estava aqui com o Frank. Agora acho que estou aqui. Mas talvez eu fique e veja se consigo fazer novos amigos. Parece um grupo interessante aqui.
7.2|Eu não conheço nenhum desses idiotas. Vim aqui com o Frank, mas foda-se o Frank. Agora estou aqui, e sou uma força a ser reconhecida se alguém se meter no meu caminho!
8|Do que diabos você está falando? Sai da minha frente enquanto ainda tem uma.
9|Tudo bem, atenção, moças e homens fracos... Estou olhando para você, camisa florida, garoto de fraternidade. Como você pode ver, essa mancha de merda humana está com o pênis de fora. *Eu dou aulas de como se defender nessas situações*. Esses idiotas que vão e voltam são reais, gente.
9.1|Sou treinado em bojutsu, cara de merda. Mas... sabe, estou me sentindo enferrujado... como se estivesse louco para treinar. Posso pegar a primeira madeira que eu vir e começar a bater em todo lugar.
9.2|Yo-sensei, que diabos? Você está carregando umas coisas de qualidade aí embaixo, mas nossa merda era particular! Guarde!
9.3|Ah, olha só você, campeão... É DISSO que eu estou falando!
