[General]
Name|Stephanie

[Dialogues]
0|Oi, estranho! Como você está?
0.1|Oi, é a Stephanie. E aí?
0.2|Fique longe de mim ou eu chamo a polícia.
0.3|Estou com tanto tesão!
0.4|E aí. Curtindo a festa? Quer curtir outra coisa?
0.5|Nossa! Hum. Oi. Você está meio pelado. Que legal. Nada mal, devo dizer. Enfim, e aí?
1|Obrigado! Eu gosto, adoro dançar!
2|Prazer em te conhecer também. Nossa, eu gosto, AMO essa música!
3|Ah, Mads e eu nos conhecemos desde o ensino fundamental. Eu não teria passado na aula de matemática se quisesse; ela não teria me deixado colá-la o tempo todo. Pensando bem, eu provavelmente não teria passado em história, ciências ou espanhol também. Dá para acreditar?
4|Ela é tipo, superinteligente. Se eu pudesse ter copiado ela no ensino fundamental, eu teria sido tipo uma aluna nota 10.
5|Esta festa está legal, mas eu queria muito saber dançar whip-it.
6|Isso não foi uma coisa muito legal de se dizer.
7|Bem, eu fico meio doida com whip-its. Se você gosta dos meus passos de dança agora, você ainda não viu nada!
8|Ele gosta de mim, ele me assusta. Ele está sempre tão bêbado e sempre olha para os meus peitos quando estou dançando.
9|Whip-its - ótima descoberta! Alguns podem dizer que a coisa mais maravilhosa da vida é assistir a um lindo pôr do sol, mas para mim, não há nada melhor do que inalar gás comprimido, baby. Isso me faz sentir todo tipo de sensualidade. Mas, falando sério, é só um aperitivo. Quer ver o quão gostosa eu consigo ficar? Traga um pouco de vinho para essa situação. Só de pensar nisso me dá vontade de voltar para a pista de dança.
9.1|Whip-its, ótima descoberta! Alguns podem dizer que a coisa mais maravilhosa da vida é assistir a um lindo pôr do sol, mas para mim, nada começa a noite melhor do que inalar gás comprimido, baby. Complete com uma boa bebida ou pelo menos boas vibrações, e uhuu! É hora da festa! Agora, falando em...
10|Obrigada! Fico feliz que você goste dos meus passos. Vi você olhando para a minha bunda. Continue fazendo isso. Me excita.
11|Sabe de uma coisa? Porra! Vamos tornar essa festa ainda mais divertida!
12|De jeito nenhum, você encontrou alguma bebida alcoólica? Você é meu herói! Não sobrou muita coisa aqui, mas pelo menos posso brigar! Obrigada!
13|Boa tentativa, mas eu teria que estar bem bêbado para isso. E pelo jeito que está essa festa, parece que isso não vai acontecer!
14| 13.1|Nossa, essa é uma ideia bem legal, mas peraí! Eu não sou seu macaco! Se eu for ficar pelado, vai ser MINHA escolha. A menos, claro, que eu tenha gostado um pouco mais de você, mas acho que ainda não chegamos lá.
14|Você acha que eu não sei disso? Que cara barulhento. Tipo, relaxa, né?
15|Você está dizendo que a minha dança te deixou de pau duro? Isso é bem excitante.
16|Ai, merda! Você me arrumou mais vinho? Você é o melhor. Ei, sabia que eu consigo virar uma garrafa inteira em menos de um minuto? Olha só!
17|Tipo, meu Deus. Estou pirando completamente agora. Esse cara acabou de foder tudo em mim. Argh, e a pista de dança agora está pegajosa!
18|Uma chicotada é o ato ou processo de inalar óxido nitroso de pequenos recipientes comprimidos ou latas de chantilly para obter um barato momentâneo.
19|Eu me sinto, tipo, totalmente sério quando se trata de drogas.
20|Está muito frio aqui. Dancei a noite toda e estou tipo, nem suei um pouco.
21|Tipo, eu nem acho que ele tem celular. Nunca o vi usar.
22|Espera aí, o quê? Já é 2017? Acho que eu gosto, perdi minha consulta no dentista.
22.1|O quê? Tenho certeza de que tem criança na África que não tem celular.
23|Não, desculpe! Acho que não a conheço.
24|Estou com um tesão danado!
25|Espera aí, você é tipo uma prostituta? Claro que é! Eu devia saber! Quanto você cobra?
26|Nossa! Você é pão-duro! Eu teria pago muito mais que isso! Combinado! Vamos fazer aqui! Não aguento mais esperar!
27|Nossa, tipo, o que você está fazendo? Sou eu quem te paga, lembra? Vamos fazer do meu jeito.
28|Tipo, mãos à obra, tá? Paguei um bom dinheiro por isso!
29|Se eu quisesse pagar alguém para conversar, contrataria um terapeuta. Pare de me distrair!
30|É isso aí. Era tipo, exatamente o que eu precisava. Você é a melhor prostituta que eu já contratei! Aqui está. Aqui estão seus 50 dólares.
31|Você está tipo, bêbada?... Ou esses passos de dança são muito ruins?
32|Bem, depende. O que é um pedido?
33|Nossa! Eu tenho tudo isso na manga. Minha assinatura é a mais legal!
34|Ah, eu não gostaria que isso acontecesse. Então minha dança não vai ser como o centro de ascensão ou seja lá como você chama. Tipo, sabe como é que se chama quando você quer que todo mundo olhe para você?
